model,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,train_accuracy,train_roc_auc,overfitting_gap
extratrees,0.8148148148148148,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9615384615384616,0.9367088607594937,0.9974358974358974,0.1218940459446789
rf,0.8148148148148148,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.9505494505494505,0.9493670886075949,0.9961538461538462,0.13455227379278012
logreg,0.7777777777777778,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.9120879120879122,0.9367088607594937,0.9814102564102565,0.15893108298171588
